title,artist,tempo,energy,danceability,loudness,valence
Adore You,Miley Cyrus,120,66,58,-5,20
Love Never Felt So Good,Michael Jackson,118,72,78,-6,71
Burn,Ellie Goulding,87,78,56,-5,33
She Looks So Perfect,5 Seconds of Summer,160,95,49,-4,44
Fancy,Iggy Azalea,95,72,91,-4,38
Talk Dirty (feat. 2 Chainz),Jason Derulo,100,65,76,-7,76
Gorilla,Bruno Mars,140,54,72,-7,64
human,Christina Perri,144,49,44,-6,25
Young Girls,Bruno Mars,126,75,56,-5,50
Wiggle (feat. Snoop Dogg),Jason Derulo,82,62,70,-7,72
Love Runs Out,OneRepublic,120,93,72,-4,74
This Is How We Do,Katy Perry,96,64,69,-6,80
Mmm Yeah (feat. Pitbull),Austin Mahone,126,92,71,-4,98
#SELFIE,The Chainsmokers,128,92,79,-3,66
Partition,Beyoncé,186,44,41,-12,17
Birthday,Katy Perry,126,67,72,-5,84
G.U.Y.,Lady Gaga,110,92,62,-3,57
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,128,74,60,-3,46
"Let It Go - From ""Frozen / Single Version",Demi Lovato,140,66,50,-6,25
Wings,Birdy,83,71,47,-5,22
Can't Remember to Forget You (feat. Rihanna),Shakira,138,81,69,-4,82
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,192,77,35,-4,4
Say Something,A Great Big World,138,15,45,-9,9
A Sky Full of Stars,Coldplay,125,68,55,-6,16
Come Get It Bae,Pharrell Williams,120,80,93,-6,90
Chandelier,Sia,174,78,29,-3,62
XO,Beyoncé,170,79,47,-9,21
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,125,94,60,-4,55
Not About Angels,Birdy,116,14,41,-10,23
Drunk in Love,Beyoncé,140,62,59,-7,40
Anaconda,Nicki Minaj,130,60,96,-6,65
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,92,81,68,-4,64
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,128,82,80,-5,61
Tee Shirt - Soundtrack Version,Birdy,76,34,68,-9,56
Words as Weapons,Birdy,120,35,53,-9,19
You're Mine (Eternal),Mariah Carey,149,58,63,-7,56
Sheezus,Lily Allen,130,50,78,-7,39
Cannonball,Lea Michele,92,82,56,-3,57
It's On Again - Main Soundtrack,Alicia Keys,110,54,64,-9,53
I Luh Ya Papi,Jennifer Lopez,96,73,74,-6,59
Not a Bad Thing,Justin Timberlake,86,73,59,-6,46
Thinking out Loud,Ed Sheeran,79,45,78,-6,59
I'm Not The Only One,Sam Smith,82,49,68,-6,49
The Hills,The Weeknd,113,56,58,-7,14
Love Yourself,Justin Bieber,100,38,61,-10,52
Uptown Funk,Mark Ronson,115,61,86,-7,93
Take Me To Church,Hozier,129,66,57,-5,44
Sugar,Maroon 5,120,79,75,-7,88
Sorry,Justin Bieber,100,76,65,-4,41
FourFiveSeconds,Rihanna,206,27,58,-6,35
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,190,61,26,-7,28
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,120,38,66,-6,44
What Do You Mean?,Justin Bieber,125,57,85,-8,79
Stitches,Shawn Mendes,150,75,75,-7,76
Want to Want Me,Jason Derulo,114,68,78,-6,66
My House,Flo Rida,94,70,69,-5,74
Waves - Robin Schulz Radio Edit,Mr. Probz,120,51,83,-9,45
Night Changes,One Direction,120,52,67,-8,37
How Deep Is Your Love,Calvin Harris,122,87,74,-4,34
Never Forget You,Zara Larsson,146,73,58,-6,28
Love Me Harder,Ariana Grande,99,71,47,-4,24
Animals,Maroon 5,190,74,28,-6,33
Blame,Calvin Harris,128,86,41,-4,35
Worth It,Fifth Harmony,100,77,88,-4,59
Break Free,Ariana Grande,130,70,69,-5,28
Don't,Ed Sheeran,95,61,81,-7,85
Elastic Heart,Sia,130,79,42,-5,50
Rather Be (feat. Jess Glynne),Clean Bandit,121,59,80,-7,55
Dear Future Husband,Meghan Trainor,79,78,66,-5,83
43776,Beyoncé,136,71,75,-5,56
The Heart Wants What It Wants,Selena Gomez,83,79,62,-5,62
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,86,73,60,-4,53
Genie In a Bottle,Christina Aguilera,176,80,63,-7,91
Company,Justin Bieber,95,80,59,-5,43
Sing,Ed Sheeran,120,67,82,-4,94
Jealous - Remix,Nick Jonas,93,71,68,-4,45
Really Don't Care,Demi Lovato,121,73,71,-4,85
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,110,61,83,-4,71
Only Love Can Hurt Like This,Paloma Faith,91,89,57,-5,31
Heartbeat Song,Kelly Clarkson,149,80,49,-4,48
Up,Olly Murs,115,85,69,-5,64
Trumpets,Jason Derulo,82,70,63,-5,64
Runnin' (Lose It All),Naughty Boy,139,85,32,-6,8
Same Old Love,Selena Gomez,98,59,67,-4,44
I Want You To Know,Zedd,130,85,58,-3,37
Lips Are Movin,Meghan Trainor,139,83,78,-5,95
I'll Show You,Justin Bieber,192,61,36,-7,8
Here,Alessia Cara,120,82,38,-4,33
I Lived,OneRepublic,120,85,59,-5,34
Fireball (feat. John Ryan),Pitbull,123,94,69,-5,79
Easy Love,Sigala,124,94,68,-4,65
The Feeling,Justin Bieber,127,81,53,-6,21
I Really Like You,Carly Rae Jepsen,122,81,62,-5,60
BO$$,Fifth Harmony,103,87,81,-5,74
Focus,Ariana Grande,100,88,67,-6,79
All About That Bass,Meghan Trainor,134,88,81,-4,96
On My Mind,Ellie Goulding,155,71,70,-7,74
Love Me Like You,Little Mix,106,67,79,-4,85
Broken Arrows,Avicii,116,67,63,-7,29
Booty,Jennifer Lopez,129,95,71,-4,40
What Do You Mean? - Acoustic,Justin Bieber,125,36,77,-11,76
Mark My Words,Justin Bieber,114,26,38,-9,52
Lay It All on Me,Rudimental,123,75,67,-7,48
American Oxygen,Rihanna,78,75,39,-6,48
Bang Bang,Jessie J,150,75,71,-4,73
Reality - Radio Edit,Lost Frequencies,122,70,71,-8,60
Alive,Sia,100,76,51,-4,44
Sugar (feat. Francesco Yates),Robin Schulz,123,82,64,-5,64
Been You,Justin Bieber,113,78,74,-6,86
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,123,89,76,-5,78
See You Again (feat. Charlie Puth),Wiz Khalifa,80,48,69,-8,28
Heroes (we could be),Alesso,126,75,52,-4,35
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,156,60,47,-6,4
Perfect,One Direction,100,82,65,-5,40
Ghosttown,Madonna,79,55,54,-7,9
Bang My Head (feat. Sia & Fetty Wap),David Guetta,108,87,60,-4,59
